16:47:08.733 [tearDown@null] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/o5dqwqxcwi8yw9ajb15x9nxjnwcxhtrdacukqbrv to view build report, insights, and many more debugging information all at one place!

16:49:03.273 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
16:49:03.277 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
16:49:55.562 [tearDown@null] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/l26jz5awdzx579mxneep60swn2pvmnsuv7kw0jgh to view build report, insights, and many more debugging information all at one place!

14:18:14.526 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
14:18:14.536 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
14:18:59.957 [tearDown@null] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/zfhvbnh42utuljkloqgvw1nvznz6hjzgmdsfmvmk to view build report, insights, and many more debugging information all at one place!

15:07:16.605 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
15:07:16.615 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
15:08:05.703 [tearDown@null] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/wkab5395c4nki81solcfurbc3trxaemfuyz0nbtj to view build report, insights, and many more debugging information all at one place!

15:12:42.352 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
15:12:42.364 [main] INFO  c.b.config.BrowserStackConfig - Few SDK features were not activated as platforms object was not defined
15:13:32.233 [tearDown@null] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/6jyobyur5ekbtuylhewqy4uxytsobqzb5pwyngay to view build report, insights, and many more debugging information all at one place!

